,,,,,"Pharmaceuticals. 2025. Sikiric P, Seiwerth S, Skrtic A, et al.NewOpinion"
,,,,,15
,,,,,Stable Gastric Pentadecapeptide BPC 157 as a Therapy and Safety Key: A Special Beneficial Pleiotropic Effect Controlling and Modulating Angiogenesis and the NO-System.
,,,,,"Pharmaceuticals. 2025. Sikiric P, Seiwerth S, Skrtic A, et al.NewReview"
,,,,,16
,,,,,The Effects of Human GH and Its Lipolytic Fragment (AOD9604) on Lipid Metabolism Following Chronic Treatment in Obese Mice and Beta(3)-Ar Knock-Out Mice.
,,,,,"Endocrinology. 2001. Heffernan M, Summers RJ, Thorburn A, et al."
,,,,,17
,,,,,Obesity Drugs in Clinical Development.
,,,,,Current Opinion in Investigational Drugs. 2006. Halford JC.
,,,,,18
,,,,,MOTS-c: A Novel Mitochondrial-Derived Peptide Regulating Muscle and Fat Metabolism.
,,,,,"Free Radical Biology & Medicine. 2016. Lee C, Kim KH, Cohen P.Review"
,,,,,19
,,,,,The Mitochondrial-Derived Peptide MOTS-c Promotes Metabolic Homeostasis and Reduces Obesity and Insulin Resistance.
,,,,,"Cell Metabolism. 2015. Lee C, Zeng J, Drew BG, et al."
,,,,,20
,,,,,"A Pro-Diabetogenic mtDNA Polymorphism in the Mitochondrial-Derived Peptide, MOTS-c."
,,,,,"Aging. 2021. Zempo H, Kim SJ, Fuku N, et al."
,,,,,21
,,,,,Epitalon Increases Telomere Length in Human Cell Lines Through Telomerase Upregulation or ALT Activity.
,,,,,"Biogerontology. 2025. Al-Dulaimi S, Thomas R, Matta S, Roberts T.New"
,,,,,22
,,,,,Polymorphic Tandem DNA Repeats Activate the Human Telomerase Reverse Transcriptase Gene.
,,,,,"Proceedings of the National Academy of Sciences of the United States of America. 2021. Xu T, De Cheng, Zhao Y, et al."
